,Name,Weapon Type,Archetype,Rarity,Optimal TTK,Bodyshot TTK,Usage,Impact,Range,Stability,Handling,Reload Speed,Rounds Per Minute,Magazine,Aim Assistance,Zoom,Recoil Direction,Blast Radius,Velocity,Charge Time,Accuracy,Draw Time,Swing Speed,Efficiency,Defense,Ammo Capacity,Perk 1 Init,Perk 1 Rolls Hash,Perk 1 Rolls,Perk 1 is Intrinsic,Perk 2 Init,Perk 2 Rolls Hash,Perk 2 Rolls,Perk 2 is Intrinsic,Perk 3 Init,Perk 3 Rolls Hash,Perk 3 Rolls,Perk 3 is Intrinsic,Perk 4 Init,Perk 4 Rolls Hash,Perk 4 Rolls,Perk 4 is Intrinsic
121,Battle Scar,Pulse Rifle,Lightweight Frame,Legendary,0.87,1.33,,27.0,36.0,53.0,69.0,59.0,450.0,31.0,72.0,17.0,43.0,,,,,,,,,,IS 2 Classic,,,True,Extended Mag,,,True,Full Auto Trigger System,,,True,Kinetic Damage Mod,,,False
122,Agrona PR4,Pulse Rifle,Lightweight Frame,Legendary,0.87,1.33,,27.0,38.0,53.0,68.0,60.0,450.0,31.0,73.0,17.0,45.0,,,,,,,,,,Jolt PS,,,True,Armor-Piercing Rounds,,,True,Dragonfly,,,True,Void Damage Mod,,,False
123,Thin Line,Hand Cannon,Aggressive Frame,Legendary,1.07,1.6,,92.0,64.0,25.0,30.0,29.0,110.0,9.0,60.0,14.0,88.0,,,,,,,,,,,2849697470.0,"['Fastdraw HCS', 'SteadyHand HCS', 'TrueSight HCS', 'HitMark HCS', 'Crossfire HCS', 'Sureshot HCS']",False,Tactical Mag,641206481.0,"['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']",False,Under Pressure,2508925801.0,"['Moving Target', 'Quickdraw', 'Auto-Loading Holster', 'Slideshot', 'Threat Detector', 'Triple Tap']",False,,3153831651.0,"['Dragonfly', 'Outlaw', 'Opening Shot', 'Snapshot Sights', 'Rampage', 'Zen Moment']",False
124,Quickfang,Sword,Lightweight Frame,Legendary,0.0,0.0,,40.0,28.0,,,,,70.0,,0.0,,,,,,,82.0,55.0,55.0,64.0,Jagged Edge,,,True,Swordmaster's Guard,,,True,En Garde,,,True,Void Damage Mod,,,False
125,Eternity's Edge,Sword,Adaptive Frame,Legendary,0.0,0.0,,62.0,55.0,,,,,60.0,,0.0,,,,,,,46.0,55.0,55.0,62.0,Honed Edge,,,True,Infinite Guard,,,True,Whirlwind Blade,,,True,Solar Damage Mod,,,False
126,Relentless,Pulse Rifle,High-Impact Frame,Legendary,0.67,1.6,,33.0,60.0,54.0,32.0,42.0,340.0,27.0,39.0,18.0,65.0,,,,,,,,,,Chambered Compensator,,,True,Slideways,,,True,Snapshot Sights,,,True,Kinetic Damage Mod,,,False
127,Crown-Splitter,Sword,Aggressive Frame,Legendary,0.0,0.0,,84.0,64.0,,,,,40.0,,0.0,,,,,,,10.0,55.0,55.0,58.0,Tempered Edge,,,True,Heavy Guard,,,True,Tireless Blade,,,True,Void Damage Mod,,,False
128,The Steady Hand,Hand Cannon,Aggressive Frame,Legendary,1.07,1.6,,92.0,64.0,32.0,28.0,28.0,110.0,8.0,65.0,14.0,85.0,,,,,,,,,,TrueSight HCS,,,True,Flared Magwell,,,True,Outlaw,,,True,Kinetic Damage Mod,,,False
129,Steelfeather Repeater,Auto Rifle,Rapid-Fire Frame,Legendary,0.77,1.17,0.287,18.0,32.0,38.0,44.0,55.0,720.0,49.0,72.0,16.0,57.0,,,,,,,,,,,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,,641206481.0,"['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']",False,,2894962820.0,"['Grave Robber', 'Subsistence', 'Ambitious Assassin', 'Slideways', 'Feeding Frenzy', 'Firmly Planted']",False,,60100364.0,"['Surrounded', 'Elemental Capacitor', 'Swashbuckler', 'Osmosis', 'Multikill Clip', 'Vorpal Weapon']",False
130,The Showrunner,Submachine Gun,Lightweight Frame,Legendary,0.67,0.67,,15.0,35.0,42.0,64.0,34.0,900.0,36.0,59.0,13.0,91.0,,,,,,,,,,Red Dot Micro,,,True,Tactical Mag,,,True,Dynamic Sway Reduction,,,True,Kinetic Damage Mod,,,False
131,Gravity Slingshot,Shotgun,Aggressive Frame,Legendary,0.0,1.1,,80.0,24.0,28.0,35.0,35.0,55.0,5.0,25.0,12.0,60.0,,,,,,,,,,Barrel Shroud,,,True,Accurized Rounds,,,True,Field Prep,,,True,Arc Damage Mod,,,False
132,Claws of the Wolf,Pulse Rifle,Rapid-Fire Frame,Legendary,0.8,1.4,0.717,,41.0,45.0,29.0,34.0,540.0,34.0,78.0,17.0,53.0,90.0,,,,,,,,,Arrowhead Brake,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,Alloy Magazine,641206481.0,"['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']",False,Outlaw,2023546281.0,"['Snapshot Sights', 'Outlaw', 'Headseeker', 'Slideshot', 'Field Prep', 'Threat Detector']",False,Full Auto Trigger System,439572161.0,"['Rampage', 'Kill Clip', 'High-Impact Reserves', 'Rangefinder', 'Full Auto Trigger System', 'Grave Robber']",False
133,Gahlran's Right Hand,Auto Rifle,High-Impact Frame,Legendary,0.83,1.33,,33.0,83.0,25.0,45.0,39.0,360.0,32.0,56.0,16.0,85.0,,,,,,,,,,Arrowhead Brake,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,Steady Rounds,591267464.0,"['Extended Mag', 'Alloy Magazine', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Light Mag']",False,Overflow,1452735883.0,"['Zen Moment', 'Eye of the Storm', 'Tap the Trigger', 'Under Pressure', 'Dynamic Sway Reduction', 'Outlaw']",False,Demolitionist,2950280035.0,"['Underdog', 'Rangefinder', 'Multikill Clip', 'High-Impact Reserves', 'Ambitious Assassin', 'Demolitionist']",False
134,Pyroclastic Flow,Rocket Launcher,Precision Frame,Legendary,0.0,0.0,0.349,,,50.0,47.0,32.0,15.0,1.0,59.0,20.0,63.0,65.0,61.0,,,,,,,,Volatile Launch,3664361537.0,"['Volatile Launch', 'Confined Launch', 'Countermass', 'Hard Launch', 'Linear Compensator', 'Quick Launch', 'Smart Drift Control']",False,Alloy Casing,929622943.0,"['Alloy Casing', 'Black Powder', 'High-Velocity Rounds', 'Implosion Rounds', 'Impact Casing']",False,Ambitious Assassin,1907842849.0,"['Ambitious Assassin', 'Underdog', 'Quickdraw', 'Genesis']",False,Moving Target,1480944279.0,"['Cluster Bomb', 'Auto-Loading Holster', 'Moving Target', 'Shield Disorient']",False
135,Breachlight,Sidearm,Aggressive Burst,Legendary,0.73,0.83,0.376,56.0,53.0,43.0,42.0,31.0,325.0,25.0,82.0,12.0,82.0,,,,,,,,,,,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,,3964805173.0,"['Accurized Rounds', 'Drop Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']",False,,1852559794.0,"['Underdog', 'Demolitionist', 'Outlaw', 'Under Pressure', 'Threat Detector', 'Hip-Fire Grip']",False,,4199609678.0,"['Elemental Capacitor', 'Rampage', 'Vorpal Weapon', 'Quickdraw', 'Osmosis', 'Multikill Clip']",False
136,Badlander,Shotgun,Rapid-Fire Frame,Legendary,0.0,0.43,0.227,65.0,34.0,44.0,51.0,66.0,140.0,7.0,66.0,12.0,70.0,,,,,,,,,,Full Choke,1571809010.0,"['Rifled Barrel', 'Smoothbore', 'Smallbore', 'Barrel Shroud', 'Corkscrew Rifling', 'Full Choke']",False,Flared Magwell,3292361196.0,"['Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Accurized Rounds', 'Light Mag']",False,Kill Clip,3078315597.0,"['Slideshot', 'Threat Detector', 'Field Prep', 'Moving Target', 'Pulse Monitor']",False,,122459967.0,"['Rampage', 'Genesis', 'Snapshot Sights', 'Quickdraw', 'Auto-Loading Holster']",False
137,Retrofuturist,Shotgun,Lightweight Frame,Legendary,0.0,0.77,,65.0,46.0,42.0,68.0,60.0,80.0,7.0,50.0,12.0,55.0,,,,,,,,,,Full Choke,,,True,Appended Mag,,,True,Auto-Loading Holster,,,True,Void Damage Mod,,,False
138,Stochastic Variable,Submachine Gun,Lightweight Frame,Legendary,0.67,0.67,,15.0,40.0,42.0,55.0,34.0,900.0,36.0,52.0,13.0,95.0,,,,,,,,,,Candle PS,,,True,High-Caliber Rounds,,,True,Tap the Trigger,,,True,Arc Damage Mod,,,False
139,Pleiades Corrector,Scout Rifle,Lightweight Frame,Legendary,0.9,1.8,,60.0,35.0,49.0,74.0,67.0,200.0,16.0,76.0,20.0,52.0,,,,,,,,,,Spark PS,,,True,High-Caliber Rounds,,,True,Rampage,,,True,Solar Damage Mod,,,False
140,Perseverance,Auto Rifle,Rapid-Fire Frame,Legendary,0.77,1.17,,18.0,35.0,54.0,44.0,51.0,720.0,52.0,66.0,16.0,56.0,,,,,,,,,,Arrowhead Brake,,,True,Accurized Rounds,,,True,Dynamic Sway Reduction,,,True,Solar Damage Mod,,,False
141,Niflheim Frost,Scout Rifle,Precision Frame,Legendary,1.0,1.67,,62.0,46.0,47.0,50.0,48.0,180.0,16.0,62.0,20.0,80.0,,,,,,,,,,Chambered Compensator,,,True,Appended Mag,,,True,Kill Clip,,,True,Kinetic Damage Mod,,,False
142,Daedalus Code,Hand Cannon,Lightweight Frame,Legendary,0.8,1.6,,80.0,39.0,41.0,66.0,62.0,150.0,13.0,87.0,14.0,97.0,,,,,,,,,,Fastdraw HCS,,,True,High-Caliber Rounds,,,True,Auto-Loading Holster,,,True,Solar Damage Mod,,,False
143,Breath of the Dragon,Submachine Gun,Lightweight Frame,Legendary,0.67,0.67,,15.0,32.0,47.0,66.0,33.0,900.0,36.0,50.0,13.0,93.0,,,,,,,,,,Polygonal Rifling,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,High-Caliber Rounds,641206481.0,"['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']",False,Outlaw,1842460433.0,"['Under Pressure', 'Zen Moment', 'Snapshot Sights', 'Moving Target', 'Slideways', 'Grave Robber']",False,Kill Clip,1948324697.0,"['Dynamic Sway Reduction', 'Kill Clip', 'Tap the Trigger', 'Threat Detector', 'Rampage', 'High-Impact Reserves']",False
144,Broadsword Launcher,Rocket Launcher,Adaptive Frame,Legendary,0.0,0.0,,,,47.0,46.0,50.0,20.0,1.0,59.0,20.0,48.0,75.0,53.0,,,,,,,,Countermass,,,True,Implosion Rounds,,,True,Auto-Loading Holster,,,True,Arc Damage Mod,,,False
145,Swift Ride XE8375,Pulse Rifle,Adaptive Frame,Legendary,0.93,1.4,,29.0,43.0,61.0,46.0,46.0,390.0,38.0,65.0,17.0,70.0,,,,,,,,,,SPO-28 Front,102176546.0,"['SRO-37 Ocular', 'SRO-41 Ocular', 'SRO-52 Ocular', 'SLO-12 Post', 'SLO-21 Post', 'SLO-10 Post', 'SPO-57 Front', 'SPO-28 Front', 'SPO-26 Front']",False,Accurized Rounds,3964805173.0,"['Accurized Rounds', 'Drop Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']",False,Headseeker,2149971920.0,"['Outlaw', 'Rangefinder', 'Firmly Planted', 'Grave Robber', 'Under Pressure', 'Moving Target', 'Ambitious Assassin']",False,,3668356940.0,"['Rampage', 'Kill Clip', 'High-Impact Reserves', 'Full Auto Trigger System', 'Snapshot Sights', 'Headseeker', 'Zen Moment']",False
146,Orimund's Anvil,Auto Rifle,Precision Frame,Legendary,0.93,1.47,,29.0,64.0,51.0,50.0,45.0,450.0,33.0,40.0,16.0,75.0,,,,,,,,,,IS 2 Classic,,,True,Accurized Rounds,,,True,Under Pressure,,,True,Kinetic Damage Mod,,,False
147,Agamid,Hand Cannon,Aggressive Frame,Legendary,1.07,1.6,,92.0,60.0,31.0,32.0,38.0,110.0,9.0,43.0,14.0,100.0,,,,,,,,,,SteadyHand HCS,,,True,Alloy Magazine,,,True,Rampage,,,True,Kinetic Damage Mod,,,False
148,Interference VI,Grenade Launcher,Adaptive Frame,Legendary,0.0,0.5,,,,44.0,46.0,46.0,120.0,6.0,61.0,13.0,66.0,30.0,36.0,,,,,,,,Volatile Launch,,,True,Alloy Casing,,,True,Field Prep,,,True,Arc Damage Mod,,,False
149,Escape Velocity,Submachine Gun,Lightweight Frame,Legendary,0.67,0.67,,15.0,32.0,39.0,73.0,32.0,900.0,37.0,45.0,13.0,80.0,,,,,,,,,,IS 2 Classic,,,True,High-Caliber Rounds,,,True,Grave Robber,,,True,Kinetic Damage Mod,,,False
150,Duty Bound,Auto Rifle,Adaptive Frame,Legendary,0.7,1.2,,21.0,42.0,45.0,61.0,54.0,600.0,41.0,73.0,16.0,60.0,,,,,,,,,,Fastdraw IS,,,True,Ricochet Rounds,,,True,Zen Moment,,,True,Kinetic Damage Mod,,,False
151,Tatara Gaze,Sniper Rifle,Aggressive Frame,Legendary,0.0,0.83,0.186,90.0,74.0,31.0,33.0,42.0,72.0,3.0,45.0,50.0,79.0,,,,,,,,,,Chambered Compensator,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,Accurized Rounds,3964805173.0,"['Accurized Rounds', 'Drop Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']",False,Snapshot Sights,2342204062.0,"['Outlaw', 'Rangefinder', 'Rapid Hit', 'Shield Disorient', 'Quickdraw', 'Snapshot Sights']",False,Box Breathing,3759616724.0,"['Rampage', 'Kill Clip', 'Dragonfly', 'Opening Shot', 'Genesis', 'Box Breathing']",False
152,Courageous Surrender,Grenade Launcher,Aggressive Frame,Legendary,0.0,0.4,,,,32.0,27.0,32.0,150.0,4.0,31.0,13.0,78.0,15.0,57.0,,,,,,,,Volatile Launch,,,True,Spike Grenades,,,True,Quickdraw,,,True,Solar Damage Mod,,,False
153,Future Safe 10,Sword,Adaptive Frame,Legendary,0.0,0.0,,62.0,46.0,,,,,50.0,,0.0,,,,,,,46.0,55.0,46.0,60.0,Jagged Edge,,,True,Burst Guard,,,True,En Garde,,,True,Solar Damage Mod,,,False
154,Bane of Sorrow,Machine Gun,High-Impact Frame,Legendary,0.5,0.83,,70.0,71.0,30.0,45.0,43.0,360.0,48.0,30.0,16.0,69.0,,,,,,,,,,Corkscrew Rifling,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,High-Caliber Rounds,641206481.0,"['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']",False,Outlaw,3183079380.0,"['Tap the Trigger', 'Feeding Frenzy', 'Genesis', 'Eye of the Storm', 'Under Pressure', 'Snapshot Sights']",False,Dragonfly,141781350.0,"['Demolitionist', 'Kill Clip', 'Rampage', 'Underdog', 'Mulligan', 'High-Impact Reserves']",False
155,The Last Breath,Auto Rifle,Adaptive Frame,Legendary,0.7,1.2,,21.0,48.0,49.0,70.0,56.0,600.0,43.0,67.0,16.0,56.0,,,,,,,,,,Extended Barrel,,,True,,,,False,Slideshot,,,True,Ambitious Assassin,,,True
156,Disrespectful Stare,Pulse Rifle,High-Impact Frame,Legendary,0.67,1.6,,33.0,63.0,55.0,30.0,40.0,340.0,27.0,35.0,18.0,75.0,,,,,,,,,,SC Holo,,,True,High-Caliber Rounds,,,True,Pulse Monitor,,,True,Kinetic Damage Mod,,,False
157,Lincoln Green,Pulse Rifle,Rapid-Fire Frame,Legendary,0.8,1.4,,23.0,32.0,46.0,30.0,33.0,540.0,36.0,74.0,17.0,60.0,,,,,,,,,,IS 5 Circle,,,True,Steady Rounds,,,True,Quickdraw,,,True,Kinetic Damage Mod,,,False
158,Cold Front,Submachine Gun,Aggressive Frame,Legendary,0.67,1.0,,22.0,46.0,16.0,58.0,27.0,750.0,27.0,29.0,13.0,92.0,,,,,,,,,,Hammer-Forged Rifling,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,Flared Magwell,3964805173.0,"['Accurized Rounds', 'Drop Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']",False,Zen Moment,4207834996.0,"['Zen Moment', 'Underdog', 'Pulse Monitor', 'Feeding Frenzy', 'Auto-Loading Holster']",False,Osmosis,2679174460.0,"['Osmosis', 'Kill Clip', 'Vorpal Weapon', 'Dynamic Sway Reduction', 'Rangefinder']",False
159,Swift Ride,Pulse Rifle,Adaptive Frame,Legendary,0.93,1.4,,29.0,43.0,61.0,46.0,46.0,390.0,38.0,65.0,17.0,70.0,,,,,,,,,,SPO-28 Front,,,True,Accurized Rounds,,,True,Headseeker,,,True,Arc Damage Mod,,,False
160,Agenda 5,Pulse Rifle,Lightweight Frame,Legendary,0.87,1.33,,27.0,37.0,57.0,66.0,62.0,450.0,32.0,71.0,17.0,60.0,,,,,,,,,,Impulse MS3,,,True,Extended Mag,,,True,Zen Moment,,,True,Solar Damage Mod,,,False
161,Eternal Slumber,Pulse Rifle,Adaptive Frame,Legendary,0.93,1.4,,29.0,48.0,64.0,46.0,45.0,390.0,37.0,65.0,17.0,62.0,,,,,,,,,,IS 5 Circle,,,True,Alloy Magazine,,,True,Under Pressure,,,True,Kinetic Damage Mod,,,False
162,Valakadyn,Auto Rifle,Rapid-Fire Frame,Legendary,0.77,1.17,,18.0,35.0,52.0,44.0,54.0,720.0,53.0,66.0,16.0,56.0,,,,,,,,,,Corkscrew Rifling,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,Accurized Rounds,641206481.0,"['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']",False,Under Pressure,1314971152.0,"['Quickdraw', 'Tap the Trigger', 'Snapshot Sights', 'Under Pressure', 'Auto-Loading Holster', 'Dynamic Sway Reduction', 'Outlaw']",False,,2088131980.0,"['Rampage', 'Rangefinder', 'High-Impact Reserves', 'Kill Clip', 'Pulse Monitor', 'Moving Target', 'Grave Robber']",False
163,Halfdan-D,Auto Rifle,High-Impact Frame,Legendary,0.83,1.33,,33.0,82.0,28.0,45.0,35.0,360.0,33.0,60.0,16.0,70.0,,,,,,,,,,GA Post,4016668650.0,"['LD Watchdog', 'LB Assault', 'LC Ranged', 'GA Post', 'GB Iron', 'SD Thermal', 'SC Holo']",False,Tactical Mag,3964805173.0,"['Accurized Rounds', 'Drop Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']",False,Outlaw,1314971152.0,"['Quickdraw', 'Tap the Trigger', 'Snapshot Sights', 'Under Pressure', 'Auto-Loading Holster', 'Dynamic Sway Reduction', 'Outlaw']",False,,2088131980.0,"['Rampage', 'Rangefinder', 'High-Impact Reserves', 'Kill Clip', 'Pulse Monitor', 'Moving Target', 'Grave Robber']",False
164,Mos Epoch III,Rocket Launcher,Aggressive Frame,Legendary,0.0,0.0,,,,29.0,26.0,57.0,25.0,1.0,32.0,20.0,54.0,55.0,76.0,,,,,,,,,3664361537.0,"['Volatile Launch', 'Confined Launch', 'Countermass', 'Hard Launch', 'Linear Compensator', 'Quick Launch', 'Smart Drift Control']",False,,929622943.0,"['Alloy Casing', 'Black Powder', 'High-Velocity Rounds', 'Implosion Rounds', 'Impact Casing']",False,,740344601.0,"['Moving Target', 'Auto-Loading Holster', 'Threat Detector', 'Tracking Module', 'Rangefinder', 'Genesis']",False,,2834878207.0,"['Quickdraw', 'Cluster Bomb', 'Shield Disorient', 'Disruption Break', 'Snapshot Sights', 'Kill Clip']",False
165,Adverse Possession IX,Scout Rifle,Precision Frame,Legendary,1.0,1.67,,62.0,47.0,50.0,44.0,46.0,180.0,16.0,61.0,20.0,76.0,,,,,,,,,,SLO-10 Post,,,True,Flared Magwell,,,True,Moving Target,,,True,Arc Damage Mod,,,False
166,Athelflad-D,Sidearm,Precision Frame,Legendary,0.7,0.93,,51.0,63.0,37.0,36.0,28.0,260.0,12.0,76.0,12.0,90.0,,,,,,,,,,Control SAS,,,True,Ricochet Rounds,,,True,Grave Robber,,,True,Kinetic Damage Mod,,,False
167,Hush,Combat Bow,Precision Frame,Legendary,1.37,1.37,,76.0,,46.0,54.0,46.0,,,64.0,18.0,78.0,,,60.0,79.0,684.0,,,,,Natural String,,,True,Straight Fletching,,,True,Opening Shot,,,True,Archer's Gambit,,,True
168,Urchin-3si,Sidearm,Lightweight Frame,Legendary,0.67,1.0,,43.0,24.0,50.0,74.0,49.0,360.0,15.0,72.0,12.0,90.0,,,,,,,,,,Tactic SAS,,,True,Steady Rounds,,,True,Outlaw,,,True,Solar Damage Mod,,,False
169,Etana SI4,Sidearm,Omolon Adaptive Frame,Legendary,0.5,1.1,,75.0,45.0,80.0,53.0,40.0,491.0,30.0,60.0,12.0,90.0,,,,,,,,,,Shortspec SAS,,,True,Appended Mag,,,True,Hip-Fire Grip,,,True,Arc Damage Mod,,,False
170,Three Graves,Pulse Rifle,High-Impact Frame,Legendary,0.67,1.6,,33.0,68.0,59.0,26.0,37.0,340.0,31.0,39.0,18.0,80.0,,,,,,,,,,Model 6 Loop,,,True,Extended Mag,,,True,Outlaw,,,True,Kinetic Damage Mod,,,False
171,Radiant Stardust,Submachine Gun,Lightweight Frame,Legendary,0.67,0.67,,15.0,33.0,45.0,66.0,35.0,900.0,36.0,49.0,13.0,100.0,,,,,,,,,,Full Bore,,,True,Steady Rounds,,,True,Grave Robber,,,True,Void Damage Mod,,,False
172,21% Delirium,Machine Gun,Rapid-Fire Frame,Legendary,0.47,0.67,,25.0,50.0,52.0,39.0,61.0,900.0,81.0,70.0,16.0,60.0,,,,,,,,,,Polygonal Rifling,,,True,Extended Mag,,,True,Overflow,,,True,Killing Tally,,,True
173,Origin Story,Auto Rifle,Precision Frame,Legendary,0.93,1.47,,29.0,61.0,46.0,43.0,47.0,450.0,32.0,35.0,16.0,73.0,,,,,,,,,,Hitmark IS,,,True,Appended Mag,,,True,Rampage,,,True,Kinetic Damage Mod,,,False
174,Abide the Return,Sword,Adaptive Frame,Legendary,0.0,0.0,,62.0,46.0,,,,,50.0,,0.0,,,,,,,46.0,55.0,55.0,60.0,Enduring Blade,4067575027.0,"['Hungry Edge', 'Enduring Blade', 'Honed Edge', 'Jagged Edge', 'Tempered Edge']",False,Balanced Guard,1121748741.0,"['Balanced Guard', 'Burst Guard', 'Enduring Guard', 'Heavy Guard', ""Swordmaster's Guard""]",False,Assassin's Blade,1265033934.0,"['Relentless Strikes', 'Tireless Blade']",False,Tireless Blade,502433386.0,"['Whirlwind Blade', 'En Garde', ""Assassin's Blade""]",False
175,Fixed Odds,Machine Gun,High-Impact Frame,Legendary,0.5,0.83,,70.0,67.0,35.0,37.0,38.0,360.0,44.0,33.0,16.0,66.0,,,,,,,,,,Hammer-Forged Rifling,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,Armor-Piercing Rounds,641206481.0,"['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']",False,Feeding Frenzy,2595757804.0,"['Feeding Frenzy', 'Threat Detector', 'Quickdraw', 'No Distractions', 'Under Pressure', 'Field Prep']",False,Rampage,2270881230.0,"['Rampage', 'Surrounded', 'Rangefinder', 'Underdog', 'Tap the Trigger', 'Firmly Planted']",False
176,Tranquility,Sniper Rifle,Adaptive Frame,Legendary,0.0,0.67,,70.0,52.0,43.0,52.0,42.0,90.0,4.0,61.0,45.0,62.0,,,,,,,,,,,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,Ricochet Rounds,22229563.0,"['Accurized Rounds', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']",False,Dragonfly,554671203.0,"['No Distractions', 'Rangefinder', 'Ambitious Assassin', 'Auto-Loading Holster', 'Field Prep', 'Outlaw']",False,,1579669541.0,"['Firing Line', 'Snapshot Sights', 'Rampage', 'Opening Shot', ""Fourth Time's the Charm"", 'High-Impact Reserves', 'Box Breathing']",False
177,Timecard,Sidearm,SUROS Rapid-Fire,Legendary,0.67,0.93,,35.0,32.0,66.0,55.0,41.0,450.0,15.0,51.0,12.0,96.0,,,,,,,,,,QuickDot SAS,,,True,Steady Rounds,,,True,Grave Robber,,,True,Arc Damage Mod,,,False
178,Loquitor IV,Auto Rifle,High-Impact Frame,Legendary,0.83,1.33,,33.0,78.0,24.0,41.0,41.0,360.0,32.0,55.0,16.0,76.0,,,,,,,,,,GA Post,,,True,Ricochet Rounds,,,True,High-Impact Reserves,,,True,Kinetic Damage Mod,,,False
179,Fate Cries Foul,Sniper Rifle,Adaptive Frame,Legendary,0.0,0.67,0.427,70.0,48.0,47.0,47.0,44.0,90.0,4.0,60.0,40.0,48.0,,,,,,,,,,,845968600.0,"['Zoom 30 Focus', 'Zoom 10 Point']",False,,641206481.0,"['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']",False,,1890243786.0,"['Hip-Fire Grip', 'Firmly Planted', 'Snapshot Sights', 'Rapid Hit', 'Genesis', 'Field Prep']",False,,530008291.0,"['Dragonfly', 'Triple Tap', 'Ambitious Assassin', 'Moving Target', 'Rampage', 'Outlaw']",False
